Item;Qty;Reference(s);Value;LibPart;Footprint;Datasheet;DNP;Description;Height;Manufacturer_Name;Manufacturer_Part_Number;Mouser Part Number;Mouser Price/Stock
1;1;ANT1;ANT3216LL00R2400A;alecot:ANT3216LL00R2400A;alecot:ANT3216LL00R2400A;;;Antennas 1W 2.4-2.5GHz ANTENNA;1.35;Pulse Electronics;ANT3216LL00R2400A;603-ANT3216LL00R2400;https://www.mouser.co.uk/ProductDetail/Pulse-Electronics/ANT3216LL00R2400A?qs=VAB4DzKv5wVywAIgVVebaA%3D%3D
2;1;C1;470u;alecot:ECA-1HM471;alecot:CAPPRD500W65D1000H2200;http://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1218.pdf;;PANASONIC - ECA-1HM471 - Electrolytic Capacitor, 470uF, 50 V, M Series, +/- 20%, Radial Leaded, 10 mm;22;Panasonic;ECA-1HM471;667-ECA-1HM471;https://www.mouser.co.uk/ProductDetail/Panasonic/ECA-1HM471?qs=RQTRNQENgbvN2kiZFgkvyA%3D%3D
3;2;C2, C38;2.2u;alecot:GCM31CR71H225KA55K;alecot:CAPC3116X180N;https://psearch.en.murata.com/capacitor/product/GCM31CR71H225KA55%23.html;;Capacitor GCM31 L=3.2mm W=1.6mm T=1.6mm;1.8;Murata Electronics;GCM31CR71H225KA55K;81-GCM31CR71H225KA5K;https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GCM31CR71H225KA55K?qs=Er06SXQpt%252B4Wl7IFhiz7sg%3D%3D
4;14;C3, C6, C10, C14, C15, C16, C17, C19, C20, C21, C22, C25, C26, C31;0.1u;alecot:GRM155R61H104KE19D;alecot:CAPC1005X55N;http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf;;MURATA - GRM155R61H104KE19D - CAP, MLCC, X5R, 100NF, 50V, 0402;0.55;Murata Electronics;GRM155R61H104KE19D;81-GRM155R61H104KE9D;https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM155R61H104KE19D?qs=IPQhFcwEUOgxc5G2vSckRg%3D%3D
5;1;C4;10u;alecot:GRM32ER71H106KA12L;alecot:CAPC3225X270N;http://psearch.en.murata.com/capacitor/product/GRM32ER71E226KE15%23.pdf;;Ceramic  SMT capacitor 10uF 50Vdc Murata 1210 GRM 10uF Ceramic Multilayer Capacitor, 50 V dc, +125C, X7R Dielectric, +/-10%;2.7;Murata Electronics;GRM32ER71H106KA12L;81-GRM32ER71H106KA2L;https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM32ER71H106KA12L?qs=6pxx44s1bjkjdm74o%2FrKhg%3D%3D
6;8;C5, C7, C12, C13, C23, C32, C36, C37;1u;alecot:GCM155C71A105KE38D;alecot:CAPC1005X55N;https://psearch.en.murata.com/capacitor/product/GCM155C71A105KE38%23.html;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 1uF 10volts X7S 10%;0.55;Murata Electronics;GCM155C71A105KE38D;81-GCM155C71A105KE8D;https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GCM155C71A105KE38D?qs=OJGUyRWaYtN5Lg0weYKHQw%3D%3D
7;2;C8, C11;1n;alecot:GRM1885C1H102JA01D;alecot:CAPC1608X90N;https://psearch.en.murata.com/capacitor/product/GRM1885C1H102JA01%23.html;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 1000pF 50volts C0G 5%;0.9;Murata Electronics;GRM1885C1H102JA01D;81-GRM39C102J50;https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM1885C1H102JA01D?qs=H3lwsW1hsDtu9zD8AnV%2FOA%3D%3D
8;1;C9;10u;alecot:GRM188R61C106MA73D;alecot:CAPC1608X90N;https://datasheet.datasheetarchive.com/originals/distributors/Datasheets_SAMA/ec4f1577dddcc7a13ddad897a28002d3.pdf;;Multilayer Ceramic Capacitors MLCC - SMD/SMT   10u  16V   20%        0603;0.9;Murata Electronics;GRM188R61C106MA73D;81-GRM188R61C106MA3D;https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM188R61C106MA73D?qs=OXzh9Ga2KBH8Bmnena8%252BFw%3D%3D
9;3;C18, C24, C28;4.7u;alecot:GRT188R61C475KE13D;alecot:CAPC1608X95N;https://psearch.en.murata.com/capacitor/product/GRT188R61C475KE13%23.html;;Cap Ceramic 4.7uF 16V X5R 10% Pad SMD 0603 85C Automotive T/R;0.95;Murata Electronics;GRT188R61C475KE13D;81-GRT188R61C475KE3D;https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRT188R61C475KE13D?qs=drgMNd%252BkGPNMn4sNn1U6ew%3D%3D
10;1;C27;100p;alecot:GRM1555C1H101JA01D;alecot:CAPC1005X55N;http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf;;Ceramic  SMT capacitor 100pF 50Vdc Murata 0402 GRM 100pF Ceramic Multilayer Capacitor, 50 V dc, +125C, C0G Dielectric, +/-5%;0.55;Murata Electronics;GRM1555C1H101JA01D;81-GRM1555C1H101JA1D;https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM1555C1H101JA01D?qs=to8XolpOzrOREPd%2Fx%2FLxrw%3D%3D
